;Date;Sample Description;Group #;Sample #;Analysis Name;Result
0;2017-09-29;Site 1TSCS;1064680;709281185;total anthocyanins;1018
1;2017-09-29;Site 1TSCS;1064680;709281185;titratable acidity;5.8
2;2017-09-29;Site 1TSCS;1064680;709281185;sugar per berry (by weight);0.241
3;2017-09-29;Site 1TSCS;1064680;709281185;quercetin glycosides;64
4;2017-09-29;Site 1TSCS;1064680;709281185;tannin;334
5;2017-09-29;Site 1TSCS;1064680;709281185;pH;3.65
6;2017-09-29;Site 1TSCS;1064680;709281185;polymeric anthocyanins/tannin index;0.048
7;2017-09-29;Site 1TSCS;1064680;709281185;polymeric anthocyanins;16
8;2017-09-29;Site 1TSCS;1064680;709281185;berry weight;1.03
9;2017-09-29;Site 1TSCS;1064680;709281185;glucose + fructose;234
10;2017-09-29;Site 1TSCS;1064680;709281185;catechin/tannin index;0.081
11;2017-09-29;Site 1TSCS;1064680;709281185;catechin;27
12;2017-09-29;Site 1TSCS;1064680;709281185;brix;23.4
13;2017-09-29;Site 1TSCS;1064680;709281185;L-malic acid;2.09
14;2017-09-17;Black Sears Site 4;1057039;709160625;titratable acidity;6.7
15;2017-09-17;Black Sears Site 4;1057039;709160625;total anthocyanins;812
16;2017-09-17;Black Sears Site 4;1057039;709160625;sugar per berry (by weight);0.478
17;2017-09-17;Black Sears Site 4;1057039;709160625;quercetin glycosides;24
18;2017-09-17;Black Sears Site 4;1057039;709160625;tannin;800
19;2017-09-17;Black Sears Site 4;1057039;709160625;pH;3.7
20;2017-09-17;Black Sears Site 4;1057039;709160625;polymeric anthocyanins/tannin index;0.031
21;2017-09-17;Black Sears Site 4;1057039;709160625;polymeric anthocyanins;25
22;2017-09-17;Black Sears Site 4;1057039;709160625;berry weight;1.6
23;2017-09-17;Black Sears Site 4;1057039;709160625;glucose + fructose;313
24;2017-09-17;Black Sears Site 4;1057039;709160625;catechin/tannin index;0.062
25;2017-09-17;Black Sears Site 4;1057039;709160625;catechin;50
26;2017-09-17;Black Sears Site 4;1057039;709160625;brix;29.9
27;2017-09-17;Black Sears Site 4;1057039;709160625;L-malic acid;4.03
28;2017-09-16;Black Sears Site 1;1056434;709151021;titratable acidity;7.9
29;2017-09-16;Black Sears Site 1;1056434;709151021;total anthocyanins;671
30;2017-09-16;Black Sears Site 1;1056434;709151021;sugar per berry (by weight);0.44
31;2017-09-16;Black Sears Site 1;1056434;709151021;quercetin glycosides;25
32;2017-09-16;Black Sears Site 1;1056434;709151021;tannin;566
33;2017-09-16;Black Sears Site 1;1056434;709151021;pH;3.62
34;2017-09-16;Black Sears Site 1;1056434;709151021;polymeric anthocyanins/tannin index;0.023
35;2017-09-16;Black Sears Site 1;1056434;709151021;polymeric anthocyanins;13
36;2017-09-16;Black Sears Site 1;1056434;709151021;berry weight;1.85
37;2017-09-16;Black Sears Site 1;1056434;709151021;glucose + fructose;246
38;2017-09-16;Black Sears Site 1;1056434;709151021;catechin/tannin index;0.065
39;2017-09-16;Black Sears Site 1;1056434;709151021;catechin;37
40;2017-09-16;Black Sears Site 1;1056434;709151021;brix;23.8
41;2017-09-16;Black Sears Site 1;1056434;709151021;L-malic acid;4.57
42;2017-09-15;Black Sears Site 3;1055894;709141441;titratable acidity;8
43;2017-09-15;Black Sears Site 3;1055894;709141441;total anthocyanins;684
44;2017-09-15;Black Sears Site 3;1055894;709141441;sugar per berry (by weight);0.448
45;2017-09-15;Black Sears Site 3;1055894;709141441;quercetin glycosides;31
46;2017-09-15;Black Sears Site 3;1055894;709141441;tannin;508
47;2017-09-15;Black Sears Site 3;1055894;709141441;pH;3.48
48;2017-09-15;Black Sears Site 3;1055894;709141441;polymeric anthocyanins/tannin index;0.032
49;2017-09-15;Black Sears Site 3;1055894;709141441;polymeric anthocyanins;16
50;2017-09-15;Black Sears Site 3;1055894;709141441;berry weight;2.02
51;2017-09-15;Black Sears Site 3;1055894;709141441;glucose + fructose;225
52;2017-09-15;Black Sears Site 3;1055894;709141441;catechin/tannin index;0.102
53;2017-09-15;Black Sears Site 3;1055894;709141441;catechin;52
54;2017-09-15;Black Sears Site 3;1055894;709141441;brix;22.2
55;2017-09-15;Black Sears Site 3;1055894;709141441;L-malic acid;3.91
56;2017-09-15;Black Sears Site 2;1055894;709141440;titratable acidity;6.8
57;2017-09-15;Black Sears Site 2;1055894;709141440;total anthocyanins;719
58;2017-09-15;Black Sears Site 2;1055894;709141440;sugar per berry (by weight);0.407
59;2017-09-15;Black Sears Site 2;1055894;709141440;quercetin glycosides;23
60;2017-09-15;Black Sears Site 2;1055894;709141440;tannin;603
61;2017-09-15;Black Sears Site 2;1055894;709141440;pH;3.58
62;2017-09-15;Black Sears Site 2;1055894;709141440;polymeric anthocyanins/tannin index;0.033
63;2017-09-15;Black Sears Site 2;1055894;709141440;polymeric anthocyanins;20
64;2017-09-15;Black Sears Site 2;1055894;709141440;berry weight;1.68
65;2017-09-15;Black Sears Site 2;1055894;709141440;glucose + fructose;251
66;2017-09-15;Black Sears Site 2;1055894;709141440;catechin/tannin index;0.05
67;2017-09-15;Black Sears Site 2;1055894;709141440;catechin;30
68;2017-09-15;Black Sears Site 2;1055894;709141440;brix;24.2
69;2017-09-15;Black Sears Site 2;1055894;709141440;L-malic acid;3.71
70;2017-09-08;Aldo 2/3;1050825;709070697;titratable acidity;7.3
71;2017-09-08;Aldo 2/3;1050825;709070697;total anthocyanins;962
72;2017-09-08;Aldo 2/3;1050825;709070697;sugar per berry (by weight);0.315
73;2017-09-08;Aldo 2/3;1050825;709070697;quercetin glycosides;31
74;2017-09-08;Aldo 2/3;1050825;709070697;tannin;377
75;2017-09-08;Aldo 2/3;1050825;709070697;pH;3.48
76;2017-09-08;Aldo 2/3;1050825;709070697;polymeric anthocyanins/tannin index;0.058
77;2017-09-08;Aldo 2/3;1050825;709070697;polymeric anthocyanins;22
78;2017-09-08;Aldo 2/3;1050825;709070697;berry weight;1.23
79;2017-09-08;Aldo 2/3;1050825;709070697;glucose + fructose;262
80;2017-09-08;Aldo 2/3;1050825;709070697;catechin/tannin index;0.066
81;2017-09-08;Aldo 2/3;1050825;709070697;catechin;25
82;2017-09-08;Aldo 2/3;1050825;709070697;brix;25.6
83;2017-09-08;Aldo 2/3;1050825;709070697;L-malic acid;2.58
84;2017-09-08;ZIN 3 Tres Sabores;1050451;709061520;titratable acidity;7.2
85;2017-09-08;ZIN 3 Tres Sabores;1050451;709061520;total anthocyanins;868
86;2017-09-08;ZIN 3 Tres Sabores;1050451;709061520;sugar per berry (by weight);0.37
87;2017-09-08;ZIN 3 Tres Sabores;1050451;709061520;quercetin glycosides;31
88;2017-09-08;ZIN 3 Tres Sabores;1050451;709061520;tannin;388
89;2017-09-08;ZIN 3 Tres Sabores;1050451;709061520;pH;3.76
90;2017-09-08;ZIN 3 Tres Sabores;1050451;709061520;polymeric anthocyanins/tannin index;0.067
91;2017-09-08;ZIN 3 Tres Sabores;1050451;709061520;polymeric anthocyanins;26
92;2017-09-08;ZIN 3 Tres Sabores;1050451;709061520;berry weight;1.43
93;2017-09-08;ZIN 3 Tres Sabores;1050451;709061520;glucose + fructose;275
94;2017-09-08;ZIN 3 Tres Sabores;1050451;709061520;catechin/tannin index;0.067
95;2017-09-08;ZIN 3 Tres Sabores;1050451;709061520;catechin;26
96;2017-09-08;ZIN 3 Tres Sabores;1050451;709061520;brix;25.9
97;2017-09-08;ZIN 3 Tres Sabores;1050451;709061520;L-malic acid;4.19
98;2017-09-08;Site 3 Tres Sabores;1050451;709061519;titratable acidity;7.9
99;2017-09-08;Site 3 Tres Sabores;1050451;709061519;total anthocyanins;949
100;2017-09-08;Site 3 Tres Sabores;1050451;709061519;sugar per berry (by weight);0.341
101;2017-09-08;Site 3 Tres Sabores;1050451;709061519;quercetin glycosides;25
102;2017-09-08;Site 3 Tres Sabores;1050451;709061519;tannin;446
103;2017-09-08;Site 3 Tres Sabores;1050451;709061519;pH;3.62
104;2017-09-08;Site 3 Tres Sabores;1050451;709061519;polymeric anthocyanins/tannin index;0.063
105;2017-09-08;Site 3 Tres Sabores;1050451;709061519;polymeric anthocyanins;28
106;2017-09-08;Site 3 Tres Sabores;1050451;709061519;berry weight;1.36
107;2017-09-08;Site 3 Tres Sabores;1050451;709061519;glucose + fructose;264
108;2017-09-08;Site 3 Tres Sabores;1050451;709061519;catechin/tannin index;0.085
109;2017-09-08;Site 3 Tres Sabores;1050451;709061519;catechin;38
110;2017-09-08;Site 3 Tres Sabores;1050451;709061519;brix;25.1
111;2017-09-08;Site 3 Tres Sabores;1050451;709061519;L-malic acid;4.46
112;2017-09-05;Young Primo;1048947;709040418;titratable acidity;10.8
113;2017-09-05;Young Primo;1048947;709040418;total anthocyanins;1324
114;2017-09-05;Young Primo;1048947;709040418;sugar per berry (by weight);0.436
115;2017-09-05;Young Primo;1048947;709040418;quercetin glycosides;60
116;2017-09-05;Young Primo;1048947;709040418;tannin;393
117;2017-09-05;Young Primo;1048947;709040418;pH;3.18
118;2017-09-05;Young Primo;1048947;709040418;polymeric anthocyanins/tannin index;0.056
119;2017-09-05;Young Primo;1048947;709040418;polymeric anthocyanins;22
120;2017-09-05;Young Primo;1048947;709040418;berry weight;1.53
121;2017-09-05;Young Primo;1048947;709040418;glucose + fructose;298
122;2017-09-05;Young Primo;1048947;709040418;catechin/tannin index;0.064
123;2017-09-05;Young Primo;1048947;709040418;catechin;25
124;2017-09-05;Young Primo;1048947;709040418;brix;28.5
125;2017-09-05;Young Primo;1048947;709040418;L-malic acid;3.39
126;2017-09-05;Long/Well;1048947;709040417;titratable acidity;9
127;2017-09-05;Long/Well;1048947;709040417;total anthocyanins;798
128;2017-09-05;Long/Well;1048947;709040417;sugar per berry (by weight);0.477
129;2017-09-05;Long/Well;1048947;709040417;quercetin glycosides;38
130;2017-09-05;Long/Well;1048947;709040417;tannin;379
131;2017-09-05;Long/Well;1048947;709040417;pH;3.28
132;2017-09-05;Long/Well;1048947;709040417;polymeric anthocyanins/tannin index;0.047
133;2017-09-05;Long/Well;1048947;709040417;polymeric anthocyanins;18
134;2017-09-05;Long/Well;1048947;709040417;berry weight;1.71
135;2017-09-05;Long/Well;1048947;709040417;glucose + fructose;296
136;2017-09-05;Long/Well;1048947;709040417;catechin/tannin index;0.063
137;2017-09-05;Long/Well;1048947;709040417;catechin;24
138;2017-09-05;Long/Well;1048947;709040417;brix;27.9
139;2017-09-05;Long/Well;1048947;709040417;L-malic acid;3.08
140;2017-09-05;LMS;1048947;709040416;titratable acidity;9.5
141;2017-09-05;LMS;1048947;709040416;total anthocyanins;977
142;2017-09-05;LMS;1048947;709040416;sugar per berry (by weight);0.383
143;2017-09-05;LMS;1048947;709040416;quercetin glycosides;29
144;2017-09-05;LMS;1048947;709040416;tannin;283
145;2017-09-05;LMS;1048947;709040416;pH;3.21
146;2017-09-05;LMS;1048947;709040416;polymeric anthocyanins/tannin index;0.06
147;2017-09-05;LMS;1048947;709040416;polymeric anthocyanins;17
148;2017-09-05;LMS;1048947;709040416;berry weight;1.66
149;2017-09-05;LMS;1048947;709040416;glucose + fructose;240
150;2017-09-05;LMS;1048947;709040416;catechin/tannin index;0.12
151;2017-09-05;LMS;1048947;709040416;catechin;34
152;2017-09-05;LMS;1048947;709040416;brix;23.1
153;2017-09-05;LMS;1048947;709040416;L-malic acid;3.65
154;2017-09-03;Zin Low;1048347;709020420;titratable acidity;7.9
155;2017-09-03;Zin Low;1048347;709020420;total anthocyanins;1089
156;2017-09-03;Zin Low;1048347;709020420;sugar per berry (by weight);0.234
157;2017-09-03;Zin Low;1048347;709020420;quercetin glycosides;32
158;2017-09-03;Zin Low;1048347;709020420;tannin;397
159;2017-09-03;Zin Low;1048347;709020420;pH;3.64
160;2017-09-03;Zin Low;1048347;709020420;polymeric anthocyanins/tannin index;0.06
161;2017-09-03;Zin Low;1048347;709020420;polymeric anthocyanins;24
162;2017-09-03;Zin Low;1048347;709020420;berry weight;0.94
163;2017-09-03;Zin Low;1048347;709020420;glucose + fructose;257
164;2017-09-03;Zin Low;1048347;709020420;catechin/tannin index;0.053
165;2017-09-03;Zin Low;1048347;709020420;catechin;21
166;2017-09-03;Zin Low;1048347;709020420;brix;24.9
167;2017-09-03;Zin Low;1048347;709020420;L-malic acid;4.65
168;2017-08-27;Black Sears Site 4;1045242;708250684;titratable acidity;9.7
169;2017-08-27;Black Sears Site 4;1045242;708250684;total anthocyanins;762
170;2017-08-27;Black Sears Site 4;1045242;708250684;sugar per berry (by weight);0.494
171;2017-08-27;Black Sears Site 4;1045242;708250684;quercetin glycosides;39
172;2017-08-27;Black Sears Site 4;1045242;708250684;tannin;715
173;2017-08-27;Black Sears Site 4;1045242;708250684;pH;3.27
174;2017-08-27;Black Sears Site 4;1045242;708250684;polymeric anthocyanins/tannin index;0.013
175;2017-08-27;Black Sears Site 4;1045242;708250684;polymeric anthocyanins;9
176;2017-08-27;Black Sears Site 4;1045242;708250684;berry weight;2.13
177;2017-08-27;Black Sears Site 4;1045242;708250684;glucose + fructose;240
178;2017-08-27;Black Sears Site 4;1045242;708250684;catechin/tannin index;0.096
179;2017-08-27;Black Sears Site 4;1045242;708250684;catechin;69
180;2017-08-27;Black Sears Site 4;1045242;708250684;brix;23.2
181;2017-08-27;Black Sears Site 4;1045242;708250684;L-malic acid;5.06
182;2017-08-27;Black Sears Site 3;1045242;708250683;titratable acidity;13.9
183;2017-08-27;Black Sears Site 3;1045242;708250683;total anthocyanins;930
184;2017-08-27;Black Sears Site 3;1045242;708250683;sugar per berry (by weight);0.376
185;2017-08-27;Black Sears Site 3;1045242;708250683;quercetin glycosides;42
186;2017-08-27;Black Sears Site 3;1045242;708250683;tannin;641
187;2017-08-27;Black Sears Site 3;1045242;708250683;pH;3.08
188;2017-08-27;Black Sears Site 3;1045242;708250683;polymeric anthocyanins/tannin index;0.011
189;2017-08-27;Black Sears Site 3;1045242;708250683;polymeric anthocyanins;7
190;2017-08-27;Black Sears Site 3;1045242;708250683;berry weight;1.94
191;2017-08-27;Black Sears Site 3;1045242;708250683;glucose + fructose;188
192;2017-08-27;Black Sears Site 3;1045242;708250683;catechin/tannin index;0.122
193;2017-08-27;Black Sears Site 3;1045242;708250683;catechin;78
194;2017-08-27;Black Sears Site 3;1045242;708250683;brix;19.4
195;2017-08-27;Black Sears Site 3;1045242;708250683;L-malic acid;7.89
196;2017-08-27;Black Sears Site 2;1045242;708250682;titratable acidity;13.3
197;2017-08-27;Black Sears Site 2;1045242;708250682;total anthocyanins;880
198;2017-08-27;Black Sears Site 2;1045242;708250682;sugar per berry (by weight);0.372
199;2017-08-27;Black Sears Site 2;1045242;708250682;quercetin glycosides;29
200;2017-08-27;Black Sears Site 2;1045242;708250682;tannin;660
201;2017-08-27;Black Sears Site 2;1045242;708250682;pH;3.16
202;2017-08-27;Black Sears Site 2;1045242;708250682;polymeric anthocyanins/tannin index;<0.01
203;2017-08-27;Black Sears Site 2;1045242;708250682;polymeric anthocyanins;6
204;2017-08-27;Black Sears Site 2;1045242;708250682;berry weight;1.74
205;2017-08-27;Black Sears Site 2;1045242;708250682;glucose + fructose;213
206;2017-08-27;Black Sears Site 2;1045242;708250682;catechin/tannin index;0.132
207;2017-08-27;Black Sears Site 2;1045242;708250682;catechin;87
208;2017-08-27;Black Sears Site 2;1045242;708250682;brix;21.4
209;2017-08-27;Black Sears Site 2;1045242;708250682;L-malic acid;8.29
210;2017-08-27;Black Sears Site 1;1045242;708250681;titratable acidity;12.9
211;2017-08-27;Black Sears Site 1;1045242;708250681;total anthocyanins;606
212;2017-08-27;Black Sears Site 1;1045242;708250681;sugar per berry (by weight);0.41
213;2017-08-27;Black Sears Site 1;1045242;708250681;quercetin glycosides;21
214;2017-08-27;Black Sears Site 1;1045242;708250681;tannin;545
215;2017-08-27;Black Sears Site 1;1045242;708250681;pH;3.14
216;2017-08-27;Black Sears Site 1;1045242;708250681;polymeric anthocyanins/tannin index;<0.01
217;2017-08-27;Black Sears Site 1;1045242;708250681;polymeric anthocyanins;5
218;2017-08-27;Black Sears Site 1;1045242;708250681;berry weight;1.99
219;2017-08-27;Black Sears Site 1;1045242;708250681;glucose + fructose;206
220;2017-08-27;Black Sears Site 1;1045242;708250681;catechin/tannin index;0.176
221;2017-08-27;Black Sears Site 1;1045242;708250681;catechin;96
