index,minTemp,maxTemp,Eto_values,DayPrecip,WindSpd,DaySolRad,rain,type,stage
2010-01-01,47.4,58.5,0.01,0.05,1.7,62.0,0.56,1,
2010-01-02,37.5,59.2,0.02,0.01,1.9,107.0,0.56,1,
2010-01-03,32.7,56.1,0.04,0.0,4.1,215.0,0.56,1,
2010-01-04,34.9,56.7,0.05,0.25,3.5,217.0,0.56,1,
2010-01-05,34.2,54.6,0.03,0.06,3.1,163.0,0.56,1,
2010-01-06,38.0,51.6,0.02,0.0,3.4,113.0,0.56,1,
2010-01-07,41.7,50.1,0.01,0.03,3.4,66.0,0.56,1,
2010-01-08,37.9,54.0,0.03,0.0,4.9,136.0,0.56,1,
2010-01-09,41.6,53.0,0.01,0.0,3.2,80.0,0.56,1,
2010-01-10,44.6,52.8,0.02,0.01,3.7,111.0,0.56,1,
2010-01-11,42.9,51.8,0.02,0.0,4.1,130.0,0.56,1,
2010-01-12,49.8,60.3,0.01,0.63,3.8,49.0,0.56,1,
2010-01-13,41.8,63.8,0.05,0.08,3.9,175.0,0.56,1,
2010-01-14,34.9,60.1,0.05,0.21,2.4,216.0,0.56,1,
2010-01-15,38.5,57.4,0.03,0.06,3.2,122.0,0.56,1,
2010-01-16,39.7,56.5,0.03,0.07,3.5,133.0,0.56,1,
2010-01-17,51.2,56.0,0.01,0.16,4.0,51.0,0.56,1,
2010-01-18,51.1,58.6,0.02,1.08,8.0,65.0,0.56,1,
2010-01-19,42.2,57.7,0.03,1.04,7.0,104.0,0.56,1,
2010-01-20,47.8,56.5,0.02,1.19,8.7,84.0,0.56,1,
2010-01-21,42.4,50.2,0.0,0.89,4.1,24.0,0.56,1,
2010-01-22,36.8,50.1,0.02,0.62,2.4,111.0,0.56,1,
2010-01-23,37.9,56.8,0.04,0.2,2.7,193.0,0.56,1,
2010-01-24,37.9,50.5,0.02,0.05,3.8,78.0,0.56,1,
2010-01-25,48.5,54.1,0.01,0.83,6.0,47.0,0.56,1,
2010-01-26,42.0,55.5,0.01,0.32,2.6,72.0,0.56,1,
2010-01-27,40.8,58.8,0.03,0.0,2.7,158.0,0.56,1,
2010-01-28,43.0,59.0,0.05,0.07,2.8,205.0,0.56,1,
2010-01-29,42.9,58.0,0.03,0.3,2.4,110.0,0.56,1,
2010-01-30,40.1,61.8,0.06,0.0,2.6,243.0,0.56,1,
2010-01-31,39.2,59.1,0.04,0.01,2.0,185.0,0.56,1,
2010-02-01,41.6,59.2,0.04,0.0,2.8,149.0,8.49,1,
2010-02-02,40.8,60.8,0.05,0.05,1.9,191.0,8.49,1,
2010-02-03,39.7,62.5,0.05,0.0,1.0,207.0,8.49,1,
2010-02-04,46.9,58.1,0.01,0.56,2.7,48.0,8.49,1,
2010-02-05,49.2,64.8,0.06,0.14,3.4,242.0,8.49,1,
2010-02-06,42.5,59.0,0.03,0.91,3.9,132.0,8.49,1,
2010-02-07,40.4,62.7,0.07,0.0,2.8,282.0,8.49,1,
2010-02-08,34.7,58.5,0.05,0.07,2.4,205.0,8.49,1,
2010-02-09,38.6,54.0,0.02,0.35,3.2,107.0,8.49,1,
2010-02-10,34.3,60.6,0.06,0.0,3.2,250.0,8.49,1,
2010-02-11,41.3,60.4,0.06,0.02,3.6,211.0,8.49,1,
2010-02-12,49.3,61.8,0.03,0.11,2.6,121.0,8.49,1,
2010-02-13,45.2,65.3,0.08,0.0,2.2,317.0,8.49,1,
2010-02-14,39.6,67.4,0.07,0.0,2.3,282.0,8.49,1,
2010-02-15,44.5,69.8,0.07,0.13,2.4,261.0,8.49,1,
2010-02-16,45.7,68.9,0.07,0.05,2.2,269.0,8.49,1,
2010-02-17,42.9,72.1,0.08,0.01,2.4,311.0,8.49,1,
2010-02-18,44.0,60.9,0.03,0.03,3.3,136.0,8.49,1,
